Goya Year;Movie Director;Gender
1.ª edición - 1987  17 de marzo de 1987;Fernando Fernán Gómez  (no se otorgó);Male
2.ª edición - 1988  22 de marzo de 1988;José Luis Garci  (no se otorgó);Male
3.ª edición - 1989  22 de marzo de 1989;Gonzalo Suárez  (no se otorgó);Male
4.ª edición - 1990  10 de marzo de 1990;Fernando Trueba (1)  Ana Díez;Male
5.ª edición - 1991  16 de febrero de 1991;Carlos Saura  Rosa Vergés;Male
6.ª edición - 1992  7 de marzo de 1992;Vicente Aranda  Juanma Bajo Ulloa;Male
7.ª edición - 1993  14 de marzo de 1993;Fernando Trueba (2)  Julio Medem;Male
8.ª edición - 1994  21 de enero de 1994;Luis García Berlanga  Mariano Barroso;Male
9.ª edición - 1995  20 de enero de 1995;Imanol Uribe  La Cuadrilla (S. Aguilar y L. Guridi);Male
10.ª edición - 1996  27 de enero de 1996;Álex de la Iglesia  Agustín Díaz Yanes;Male
11.ª edición - 1997  25 de enero de 1997;Pilar Miró  Alejandro Amenábar (1);Female
12.ª edición - 1998  31 de enero de 1998;Ricardo Franco  Fernando León de Aranoa (1);Male
13.ª edición - 1999  24 de enero de 1999;Fernando León de Aranoa (2)  Santiago Segura;Male
14.ª edición - 2000  29 de enero de 2000;Pedro Almodóvar (1)  Benito Zambrano;Male
15.ª edición - 2001  3 de febrero de 2001;José Luis Borau  Achero Mañas;Male
16.ª edición - 2002  2 de febrero de 2002;Alejandro Amenábar (2)  Juan Carlos Fresnadillo;Male
17.ª edición - 2003  1 de febrero de 2003;Fernando León de Aranoa (3)  Roger Gual y Julio Wallovits;Male
18.ª edición - 2004  31 de enero de 2004;Icíar Bollaín  Ángeles González-Sinde;Female
19.ª edición - 2005  30 de enero de 2005;Alejandro Amenábar (3)  Pablo Malo;Male
20.ª edición - 2006  29 de enero de 2006;Isabel Coixet (1)  José Corbacho y Juan Cruz;Female
21.ª edición - 2007  28 de enero de 2007;Pedro Almodóvar (2)  Daniel Sánchez Arévalo;Male
22.ª edición - 2008  3 de febrero de 2008;Jaime Rosales  Juan Antonio Bayona (1);Male
23.ª edición - 2009  1 de febrero de 2009;Javier Fesser  Santiago Zannou;Male
24.ª edición - 201014 de febrero de 2010;Daniel MonzónMar Coll;Male
25.ª edición - 2011  13 de febrero de 2011;Agustí Villaronga  David Pinillos;Male
26.ª edición - 2012  19 de febrero de 2012;Enrique Urbizu  Kike Maíllo;Male
27.ª edición - 2013  17 de febrero de 2013;Juan Antonio Bayona (2)  Enrique Gato;Male
28.ª edición - 2014  9 de febrero de 2014;David Trueba  Fernando Franco;Male
29.ª edición - 2015  7 de febrero de 2015;Alberto Rodríguez  Carlos Marqués-Marcet;Male
30.ª edición - 2016  6 de febrero de 2016;Cesc Gay  Daniel Guzmán;Male
31.ª edición - 2017  4 de febrero de 2017;Juan Antonio Bayona (3)  Raúl Arévalo;Male
32.ª edición - 2018  3 de febrero de 2018;Isabel Coixet (2)  Carla Simón;Female
33.ª edición - 2019  2 de febrero de 2019;Rodrigo Sorogoyen Arantxa Echevarría;Male
34.ª edición - 2020  25 de enero de 2020;Pedro Almodóvar (3) Belén Funes;Male
35.ª edición - 2021  6 de marzo de 2021;"Salvador Calvo Pilar Palomero""";Male
36.ª edición - 2022  12 de febrero de 2022;"Fernando León de Aranoa (4) Clara Roquet""";Male
37.ª edición - 2023  11 de febrero de 2023;"Rodrigo Sorogoyen (2) Alauda Ruiz de Azúa""";Male
38.ª edición - 2024  10 de febrero de 2024;"Juan Antonio Bayona (3)  Estibaliz Urresola""";Male
