Oscar Year,Movie Title,Movie Studio,Movie Productor,Movie Director,Movie Genre
1.ª ceremonia de entrega de los Premios Óscar (1927/28),Wings,Paramount Famous Players-Lasky,Lucien Hubbard,William A. Wellman,Bélico / Cine mudo
2.ª ceremonia de entrega de los Premios Óscar (1928/29),The Broadway Melody,Metro-Goldwyn-Mayer,Irving ThalbergLawrence Weingarten,Harry Beaumont,Musical
3.ª ceremonia de entrega de los Premios Óscar (1929/30),All Quiet on the Western Front,Universal,Carl Laemmle Jr.,Lewis Milestone,Bélico
4.ª ceremonia de entrega de los Premios Óscar (1930/31),Cimarron,RKO Radio,William LeBaron,Wesley Ruggles,Western
5.ª ceremonia de entrega de los Premios Óscar (1931/32),Grand Hotel,Metro-Goldwyn-Mayer,Irving Thalberg,Edmund Goulding,Drama
6.ª ceremonia de entrega de los Premios Óscar (1932/33),Cavalcade,FOX,Frank LloydWinfield R. Sheehan,Frank Lloyd,Drama histórico
7.ª ceremonia de entrega de los Premios Óscar (1934),It Happened One Night,Columbia,Frank CapraHarry Cohn,Frank Capra,Comedia
8.ª ceremonia de entrega de los Premios Óscar (1935),Mutiny on the Bounty,Metro-Goldwyn-Mayer,Irving Thalberg,Frank Lloyd,Drama histórico / Aventura
9.ª ceremonia de entrega de los Premios Óscar (1936),The Great Ziegfeld,Metro-Goldwyn-Mayer,Hunt Stromberg,Robert Z. Leonard,Musical
10.ª ceremonia de entrega de los Premios Óscar (1937),The Life of Emile Zola,Warner Bros.,Henry Blanke,William Dieterle,Biográfico
11.ª ceremonia de entrega de los Premios Óscar (1938),You Can't Take It With You,Columbia,Frank Capra,Frank Capra,Comedia romántica
12.ª ceremonia de entrega de los Premios Óscar (1939),Gone with the Wind,SelznickMetro-Goldwyn-Mayer,David O. Selznick,Victor Fleming,Drama / Romance
13.ª ceremonia de entrega de los Premios Óscar (1940),Rebecca,SelznickUnited Artists,David O. Selznick,Alfred Hitchcock,Suspense
14.ª ceremonia de entrega de los Premios Óscar (1941),How Green Was My Valley,20th Century Fox,Darryl F. Zanuck,John Ford,Drama
15.ª ceremonia de entrega de los Premios Óscar (1942),Mrs. Miniver,Metro-Goldwyn-Mayer,Sidney Franklin,William Wyler,Drama
